n,Sit,7,Carolina Panthers
n,Sit,7,Cincinnati Bengals
o,Start,7,Matt Prater
n,Start,7,Steven Hauschka
n,Start,7,Nick Novak
n,Start,7,Justin Tucker
o,Sit,7,Shayne Graham
n,Sit,7,Brandon McManus
n,Sit,7,Dan Carpenter
n,Sit,7,Sebastian Janikowski
o,Start,7,Randall Cobb
n,Start,7,Emmanuel Sanders
n,Start,7,Mike Wallace
n,Start,7,Golden Tate
n,Start,7,T.Y. Hilton
o,Sit,7,Roddy White
n,Sit,7,Pierre Garcon
n,Sit,7,Wes Welker
n,Sit,7,Marques Colston
n,Sit,7,Brian Quick
o,Start,7,Jason Witten
n,Start,7,Dwayne Allen
n,Start,7,Jordan Cameron
n,Start,7,Jordan Reed
n,Start,7,Delanie Walker
o,Sit,7,Martellus Bennett
n,Sit,7,Vernon Davis
n,Sit,7,Travis Kelce
n,Sit,7,Heath Miller
n,Sit,7,Owen Daniels
o,Start,7,Justin Forsett
n,Start,7,Ben Tate
n,Start,7,Alfred Morris
n,Start,7,Andre Ellington
n,Start,7,Lamar Miller
o,Sit,7,Zac Stacy
n,Sit,7,Ronnie Hillman
n,Sit,7,Darren McFadden
n,Sit,7,Pierre Thomas
n,Sit,7,Steven Jackson
o,Start,7,Philip Rivers
n,Start,7,Colin Kaepernick
n,Start,7,Tony Romo
n,Start,7,Russell Wilson
n,Start,7,Carson Palmer
o,Sit,7,Matt Ryan
n,Sit,7,Drew Brees
n,Sit,7,Alex Smith
n,Sit,7,Andy Dalton
n,Sit,7,Joe Flacco
o,Start,6,Eddie Lacy
n,Start,6,Frank Gore
n,Start,6,Andre Williams
n,Start,6,Andre Ellington
n,Start,6,Branden Oliver
o,Sit,6,Zac Stacy
n,Sit,6,Alfred Morris
n,Sit,6,C.J. Spiller
n,Sit,6,Ben Tate
n,Sit,6,Stevan Ridley
o,Start,6,Philip Rivers
n,Start,6,Russell Wilson
n,Start,6,Matt Ryan
n,Start,6,Jay Cutler
n,Start,6,Eli Manning
o,Sit,6,Cam Newton
n,Sit,6,Tony Romo
n,Sit,6,Ben Roethlisberger
n,Sit,6,Joe Flacco
n,Sit,6,Teddy Bridgewater
o,Start,6,San Francisco 49ers
n,Start,6,Baltimore Ravens
n,Start,6,Denver Broncos
n,Start,6,San Diego Chargers
o,Sit,6,Carolina Panthers
n,Sit,6,Dallas Cowboys
n,Sit,6,New York Jets
n,Sit,6,Pittsburgh Steelers
o,Start,6,Greg Olsen
n,Start,6,Antonio Gates
n,Start,6,Delanie Walker
n,Start,6,Jason Witten
n,Start,6,Jordan Reed
o,Sit,6,Martellus Bennett
n,Sit,6,Jordan Cameron
n,Sit,6,Zach Ertz
n,Sit,6,Heath Miller
n,Sit,6,Jared Cook
o,Start,6,Emmanuel Sanders
n,Start,6,Alshon Jeffery
n,Start,6,Steve Smith
n,Start,6,Mike Wallace
n,Start,6,Golden Tate
o,Sit,6,Larry Fitzgerald
n,Sit,6,Cordarrelle Patterson
n,Sit,6,DeSean Jackson
n,Sit,6,Sammy Watkins
n,Sit,6,Terrance Williams
o,Start,6,Stephen Gostkowski
n,Start,6,Phil Dawson
n,Start,6,Nick Novak
n,Start,6,Robbie Gould
o,Sit,6,Dan Bailey
n,Sit,6,Nick Folk
n,Sit,6,Greg Zuerlein
n,Sit,6,Sebastian Janikowski
